numero_journal,date_heure_utc,connecteur,source,elements_retenus,erreurs
"1","2026-09-06T21:57:43Z","Apify","RONA — circulaire","0","Page bloquée : requête retournée avec code HTTP 403 (accès refusé) via apify/rag-web-browser sur https://www.rona.ca/fr/circulaire. Aucun contenu récupéré, aucune fiche créée."
"38","2026-09-09T15:48:00Z","Apify","Avis publics — BMR Matco St-Léonard (Montréal)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée : le connecteur est installé mais son statut est « needs_reconnect » (non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée si le connecteur avait été disponible : depuis la dernière collecte inscrite au Journal (2026-09-06), conformément à la règle de fenêtre fixe qui remplace désormais les « 75 derniers avis » du point zéro. Aucun avis retenu, aucune fiche créée — la règle interdisant d'inventer une source ou un contenu s'applique. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"39","2026-09-09T15:48:00Z","Apify","Avis publics — RONA+ Québec (Bouvier)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"40","2026-09-09T15:48:00Z","Apify","Avis publics — Canac Laval (Montréal)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"41","2026-09-09T15:48:00Z","Apify","Avis publics — BMR Château-Richer Raymond Boies (région de Québec)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Rappel : succursale semi-rurale à 46 km de Québec, non comparable aux trois autres bannières de l'échantillon de Québec. Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"42","2026-09-09T15:48:00Z","Apify","Avis publics — Canac L'Ancienne-Lorette (Québec)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"43","2026-09-09T15:48:00Z","Apify","Avis publics — RONA+ Marché Central (Montréal)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"44","2026-09-09T15:48:00Z","Apify","Avis publics — BMR PRO Pierre Naud (Trois-Rivières)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Rappel : cette succursale ne compte que 65 avis au total contre 625 à 3129 ailleurs dans l'échantillon — un seul avis y pèse dix à quarante-huit fois plus lourd; ne jamais interpréter une variation isolée ici. Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"45","2026-09-09T15:48:00Z","Apify","Avis publics — Home Depot Trois-Rivières","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"46","2026-09-09T15:48:00Z","Apify","Avis publics — Home Depot Québec (Bouvier)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"47","2026-09-09T15:48:00Z","Apify","Avis publics — RONA+ Trois-Rivières","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"48","2026-09-09T15:48:00Z","Apify","Avis publics — Canac Récollets (Trois-Rivières)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"49","2026-09-09T15:48:00Z","Apify","Avis publics — Home Depot Beaubien Ouest (Montréal)","0","ÉCHEC — Connecteur Apify indisponible pour cette exécution planifiée (statut « needs_reconnect », non authentifié, non activé dans cette session). Aucune tentative de collecte n'a pu être lancée sur cette source. Fenêtre visée : depuis la dernière collecte du 2026-09-06 (règle de fenêtre fixe remplaçant les « 75 derniers avis »). Aucun avis retenu, aucune fiche créée. Reconnexion du connecteur Apify requise avant la prochaine collecte mensuelle."
"53","2026-09-09T16:06:00Z","Apify","Avis publics — RONA+ Québec (Bouvier)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify par l'équipe en cours de journée (voir l'échec précédent du même jour, même source). Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06 (depuis la dernière collecte inscrite au Journal), reviewsSort=newest, aucune donnée personnelle du contributeur collectée. 2 avis retenus dans la fenêtre (6-8 sept. 2026), les 2 comportent du texte codable. Une fiche créée."
"54","2026-09-09T16:06:00Z","Apify","Avis publics — BMR Matco St-Léonard (Montréal)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 3 avis retenus (6-8 sept. 2026), 2 comportent du texte codable, 1 sans texte. Une fiche créée."
