nom,type,fiabilite,connecteur,frequence,ville,adresse,biais_connu
"Avis publics — BMR Château-Richer Raymond Boies (région de Québec)","Secondaire","Pauvre","Apify","Hebdomadaire","Québec","https://www.google.com/maps/place/?q=place_id:ChIJZcp5XsO3uEwRHPCSBcDhBTE","Avis publics : surreprésentent les expériences extrêmes. Biais supplémentaire majeur : BMR n'a aucune succursale dans la ville de Québec; ce marchand affilié est situé à environ 46 km du centre, en milieu semi-rural. Son profil thématique n'est pas comparable à celui des trois autres bannières de l'échantillon de Québec, toutes urbaines. Échantillon figé le 6 septembre 2026 : note 4,3 sur 157 avis. NOTE DE CORRECTION (6 septembre 2026) : l'adresse initialement inscrite pour cette source était erronée — identifiant cid construit et non vérifié, ce qui a fait échouer la collecte du 6 septembre. Remplacée par l'adresse fondée sur le place_id réel issu de la recherche."
"Avis publics — BMR Matco St-Léonard (Montréal)","Secondaire","Pauvre","Apify","Hebdomadaire","Montréal","https://maps.google.com/?cid=9361588258271662022","Avis publics : surreprésentent les expériences extrêmes et les clientèles urbaines. Échantillon figé le 6 septembre 2026 : note 4,0 sur 674 avis."
"Avis publics — BMR PRO Pierre Naud (Trois-Rivières)","Secondaire","Pauvre","Apify","Hebdomadaire","Trois-Rivières","https://maps.google.com/?cid=15649849078164799992","Avis publics : surreprésentent les expériences extrêmes. Volume d'avis très faible (65) comparé aux autres succursales de l'échantillon — un seul avis y pèse beaucoup plus lourd; prudence dans toute comparaison de profil thématique. Échantillon figé le 6 septembre 2026 : note 3,9."
"Avis publics — Canac L'Ancienne-Lorette (Québec)","Secondaire","Pauvre","Apify","Hebdomadaire","Québec","https://maps.google.com/?cid=12753459098889076490","Avis publics : surreprésentent les expériences extrêmes. Échantillon figé le 6 septembre 2026 : note 4,2 sur 992 avis."
"Avis publics — Canac Laval (Montréal)","Secondaire","Pauvre","Apify","Hebdomadaire","Montréal","https://maps.google.com/?cid=6603439885141484823","Avis publics : surreprésentent les expériences extrêmes et les clientèles urbaines. Succursale située à Laval et non à Montréal même — acceptée par décision d'équipe comme représentante du marché montréalais. Échantillon figé le 6 septembre 2026 : note 4,2 sur 747 avis."
"Avis publics — Canac Récollets (Trois-Rivières)","Secondaire","Pauvre","Apify","Hebdomadaire","Trois-Rivières","https://maps.google.com/?cid=17991188268772362746","Avis publics : surreprésentent les expériences extrêmes. Échantillon figé le 6 septembre 2026 : note 4,4 sur 625 avis (note la plus élevée de l'échantillon)."
"Avis publics — Home Depot Beaubien Ouest (Montréal)","Secondaire","Pauvre","Apify","Hebdomadaire","Montréal","https://maps.google.com/?cid=11177798630459516953","Avis publics : surreprésentent les expériences extrêmes et les clientèles urbaines. Échantillon figé le 6 septembre 2026 : note 3,8 sur 3129 avis (le plus gros volume de l'échantillon)."
"Avis publics — Home Depot Québec (Bouvier)","Secondaire","Pauvre","Apify","Hebdomadaire","Québec","https://maps.google.com/?cid=8749415587224338864","Avis publics : surreprésentent les expériences extrêmes. Échantillon figé le 6 septembre 2026 : note 4,3 sur 2111 avis."
"Avis publics — Home Depot Trois-Rivières","Secondaire","Pauvre","Apify","Hebdomadaire","Trois-Rivières","https://maps.google.com/?cid=10653776038399962885","Avis publics : surreprésentent les expériences extrêmes. Échantillon figé le 6 septembre 2026 : note 4,3 sur 1267 avis."
"Avis publics — RONA+ Marché Central (Montréal)","Secondaire","Pauvre","Apify","Hebdomadaire","Montréal","https://maps.google.com/?cid=3027851216011539040","Avis publics : surreprésentent les expériences extrêmes (très satisfaites ou très insatisfaites) et les clientèles urbaines. Indiquent une hiérarchie de thèmes, jamais une fréquence de population. Échantillon figé le 6 septembre 2026 : note 3,8 sur 1685 avis."
